Reference Number,City,House Type,Available From,Price,Additional Info,Ad Title,Link,Specific Location
777443,barcelona,Room,From 3 July,664,spotahome plus,Room for rent in 4-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/777443,Barcelona
1180294,barcelona,Apartment,From 1 May,3258-4026,no deposit,2-bedroom apartment for rent in L'Eixample Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/1180294,L'Eixample
981877,barcelona,Apartment,From 23 June,1850,no deposit,Apartment for rent in Eixample Esquerre!,https://www.spotahome.com/barcelona/for-rent:apartments/981877,Eixample
133311,barcelona,Room,From 15 July,690,bills included,Inviting room in 8-bedroom apartment in Gracia Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/133311,Gracia
1083306,barcelona,Room,From 11 July,600,bills included,Room for rent in a 5 bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1083306,Barcelona
952865,barcelona,Room,From 21 June,1021,bills included,Room for rent in 10-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/952865,Barcelona
95343,barcelona,Room,From 2 June,557-743,bills included,Furnished room in shared apartment in El Born Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/95343,El Born
948958,barcelona,Apartment,From 5 July,2250,some bills included,2-bedroom apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/948958,Barcelona
337367,barcelona,Apartment,From 27 April,2700-3700,some bills included,Chic 2-bedroom apartment for rent in El Raval Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/337367,El Raval
337384,barcelona,Apartment,From 27 April,2700-3700,some bills included,Trendy 2-bedroom apartment for rent in L'Eixample Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/337384,L'Eixample
289703,barcelona,Room,From 2 July,600,some bills included,Chill room to rent in 7-bedroom flat in El Born,https://www.spotahome.com/barcelona/for-rent:rooms/289703,El Born
153887,barcelona,Room,From 2 July,600,some bills included,Modern room in 7-bedroom apartment in El Born Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/153887,El Born
652042,barcelona,Apartment,From 2 May,1790,some bills included,Beautiful apartment with two double bedrooms and communal pool in Paseo de Sant Gervasi,https://www.spotahome.com/barcelona/for-rent:apartments/652042,de Sant Gervasi
651143,barcelona,Apartment,From 2 March,3350,some bills included,3-bedroom apartment for rent in Sant Gervasi,https://www.spotahome.com/barcelona/for-rent:apartments/651143,Sant Gervasi
602416,barcelona,Room,From 4 July,645,bills included,Rooms for rent in 8-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/602416,Barcelona
931845,barcelona,Room,From 1 July,590,instant booking,Room for rent in 8-bedroom house in Collblanc Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/931845,Collblanc
877416,barcelona,Room,From 3 July,725,bills included,Rooms for rent in 7-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/877416,Barcelona
380302,barcelona,Room,From 3 July,725,some bills included,Room for rent in 19-bedroom apartment in Eixample Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/380302,Eixample
