Reference Number;Bedrooms;Bathrooms;Area
577221;8;3;250
951921;2;1;No info
466845;2;1;70
1013701;6;No info;No info
1196269;2;1;48
579793;4;1;No info
754838;4;2;140
955186;3;2;72
971712;5;1;140
153333;10;3;250
972211;6;2;No info
1076117;1;15;No info
1167713;2;1;75
400855;2;1;45
654192;4;1;75
943942;4;1;140
1004028;5;1;120
572870;2;No info;No info
1070234;12;No info;No info
925034;10;3;210
925038;10;3;210
118240;3;1;85
456629;1;1;45
298288;4;3;90
330402;9;2;200
952860;6;130;No info
458641;4;1;80
1084857;1;No info;No info
768488;6;3;196
1196196;1;No info;No info
210613;4;2;120
219456;5;2;No info
279642;3;1;65
608849;1;1;6
302439;4;1;100
769337;5;5;200
122983;8;2;189
1213896;2;2;130
1006045;1;60;No info
973621;3;1;No info
999588;5;No info;No info
261591;3;1;80
994795;7;No info;No info
146452;7;2;120
773773;1;1;No info
765811;1;1;No info
773772;1;1;No info
1000055;7;2;136
480290;7;5;160
372125;1;1;35
621273;2;2;No info
1190171;4;1;No info
979859;2;1;No info
1218457;5;2;150
971693;5;1;140
436347;4;1;145
972213;6;2;No info
774266;1;No info;No info
983685;3;1;45
601286;6;2;75
1089800;5;2;No info
765614;2;2;82
326477;7;1;133
372748;19;6;320
929084;4;1;90
153332;10;3;250
1212642;3;1;80
569672;1;1;40
95562;2;1;70
202893;5;2;104
947702;10;4;No info
366901;1;65;No info
1196106;1;No info;No info
1004897;5;2;120
1213240;2;2;76
359849;5;2;80
988102;4;No info;No info
218409;5;1;90
992181;5;1;No info
928100;1;60;No info
372753;19;6;320
206254;1;1;35
927186;7;3;190
1096351;4;1;No info
574584;1;1;61
985688;2;1;50
205378;9;3;167
299957;2;1;85
971677;5;2;140
861729;2;1;65
939172;1;60;No info
931740;1;60;No info
1065995;4;4;200
1214912;2;1;75
213408;5;1;105
305518;1;1;45
141686;1;2;70
269039;2;1;60
1085947;2;1;No info
953464;4;1;No info
754168;4;1;98
321835;9;4;150
1067536;1;45;No info
956414;5;1;90
970369;2;1;88
607914;5;2;150
119767;3;1;65
118253;18;5;460
379291;3;2;80
953318;6;2;No info
384721;1;1;58
295381;5;2;No info
1012936;3;1;70
1198570;1;52;No info
931876;6;No info;No info
1205906;3;1;75
929874;9;2;No info
1013105;7;No info;No info
466303;5;4;110
137050;3;1;60
152120;3;1;90
144497;2;50;No info
928102;3;1;60
498436;3;2;110
135622;8;3;200
1091455;8;3;170
754778;3;1;100
94110;8;3;140
345088;5;2;90
1013103;7;No info;No info
827146;5;3;No info
1065548;3;1;50
1089066;2;1;80
952415;5;94;No info
956791;5;1;92
1006331;7;No info;No info
994094;4;2;140
781197;1;2;87
610732;1;1;33
760919;2;1;75
166869;7;2;170
1196256;1;No info;No info
994563;1;No info;No info
952703;1;1;No info
355151;3;1;70
964551;6;1;97
1211138;1;1;40
1015329;3;2;No info
969745;1;1;No info
226080;7;2;170
263226;3;1;65
240693;3;1;60
1083005;8;2;No info
931851;8;2;140
962850;7;No info;No info
513362;9;4;200
992856;1;1;No info
404275;1;1;40
897860;1;34;No info
935453;7;2;142
952516;3;1;90
913031;2;1;No info
1084130;3;2;102
1010473;1;No info;No info
894010;1;1;50
916051;4;2;120
952270;5;1;65
280271;3;No info;No info
781564;2;1;1000
953993;2;1;52
1008533;10;12;1000
1008538;10;12;1000
1008534;10;12;1000
917054;2;2;50
1008537;10;12;1000
477042;1;1;70
1008539;10;12;1000
1008536;10;12;1000
1008540;10;12;1000
1080600;6;2;140
1008532;10;12;1000
1008531;10;12;1000
956112;4;2;120
1181726;1;No info;No info
372752;19;6;320
1207354;3;2;80
1096383;6;2;No info
1096382;6;2;No info
1096381;6;2;No info
1096380;6;2;No info
1051885;5;2;No info
1096384;6;2;No info
1096379;6;2;No info
1182064;1;No info;No info
927058;2;No info;No info
1074733;1;2;110
1013069;6;No info;No info
229408;7;2;122
1013704;6;No info;No info
1069829;10;4;350
891219;2;4;200
271793;2;1;No info
768484;6;3;196
1212223;1;49;No info
1196264;4;No info;No info
1196244;4;No info;No info
296414;5;3;150
964553;6;1;97
1086671;5;2;100
1193700;2;1;90
84706;4;1;75
952448;5;101;No info
254294;2;1;70
635397;1;1;No info
967689;6;3;No info
1196491;1;1;47
223058;1;1;30
513364;9;4;200
373197;6;6;128
345089;5;2;90
89149;3;1;75
1067938;3;2;220
1217753;5;1;4
760902;3;2;95
403036;7;5;No info
295380;5;2;No info
1205460;1;No info;No info
924834;2;2;75
994806;7;No info;No info
939437;1;53;No info
118247;3;1;85
135267;1;1;52
153518;5;1;105
769875;14;4;380
1073235;4;2;100
1203099;2;1;60
1001060;4;2;100
153885;7;2;150
973158;4;2;No info
962133;4;2;100
726155;1;1;66
620787;2;2;No info
1066726;2;1;70
998638;2;1;65
1004067;7;2;No info
935497;5;2;96
929871;9;2;No info
939141;4;2;No info
1003064;No info;No info;No info
806715;2;2;55
123043;6;2;120
962196;8;No info;No info
624011;5;2;80
330401;9;2;200
931875;6;No info;No info
952409;5;1;96
601282;6;2;75
1213615;1;30;No info
768731;3;1;75
226083;7;2;170
372747;19;6;320
149308;1;1;50
640990;4;1;100
311778;5;2;120
415004;3;1;60
1221909;1;52;No info
301378;5;2;105
1065549;3;1;50
1196208;1;No info;No info
416117;3;1;No info
955188;3;2;72
1074897;3;2;100
392362;5;3;No info
956110;4;2;120
1076123;1;15;No info
952431;2;67;No info
952430;2;67;No info
1087414;3;2;No info
1004060;7;No info;No info
1020051;13;5;350
1065994;4;4;200
118239;3;1;85
972594;7;2;No info
994858;11;No info;No info
1180018;1;No info;No info
961552;1;1;No info
952867;10;191;No info
625170;1;40;No info
1088849;7;2;150
404388;1;No info;No info
1000056;7;2;136
1190808;5;No info;No info
923087;4;1;120
366795;3;2;110
971690;5;1;140
264265;4;2;130
